model,dataset,layer,speaker,score
dinosr_original_codebooks,dev-clean,5,across,7.336
dinosr_original_codebooks,dev-clean,5,within,6.502
dinosr_original_codebooks,dev-clean,6,across,10.524
dinosr_original_codebooks,dev-clean,6,within,9.674
dinosr_original_codebooks,dev-clean,7,across,14.818
dinosr_original_codebooks,dev-clean,7,within,13.181
dinosr_original_codebooks,dev-clean,8,across,21.473
dinosr_original_codebooks,dev-clean,8,within,18.536
dinosr_original_codebooks,dev-clean,9,across,19.625
dinosr_original_codebooks,dev-clean,9,within,16.644
dinosr_original_codebooks,dev-clean,10,across,13.167
dinosr_original_codebooks,dev-clean,10,within,11.808
dinosr_original_codebooks,dev-clean,11,across,12.132
dinosr_original_codebooks,dev-clean,11,within,10.630
dinosr_original_codebooks,dev-clean,12,across,20.155
dinosr_original_codebooks,dev-clean,12,within,16.992
dinosr_original_codebooks,dev-other,5,across,10.102
dinosr_original_codebooks,dev-other,5,within,7.746
dinosr_original_codebooks,dev-other,6,across,12.625
dinosr_original_codebooks,dev-other,6,within,10.284
dinosr_original_codebooks,dev-other,7,across,16.941
dinosr_original_codebooks,dev-other,7,within,14.031
dinosr_original_codebooks,dev-other,8,across,22.880
dinosr_original_codebooks,dev-other,8,within,18.730
dinosr_original_codebooks,dev-other,9,across,20.796
dinosr_original_codebooks,dev-other,9,within,16.850
dinosr_original_codebooks,dev-other,10,across,14.370
dinosr_original_codebooks,dev-other,10,within,12.031
dinosr_original_codebooks,dev-other,11,across,13.553
dinosr_original_codebooks,dev-other,11,within,11.143
dinosr_original_codebooks,dev-other,12,across,21.889
dinosr_original_codebooks,dev-other,12,within,17.506
dinosr_original_kmeans,dev-clean,5,across,9.556
dinosr_original_kmeans,dev-clean,5,within,8.140
dinosr_original_kmeans,dev-other,5,across,14.606
dinosr_original_kmeans,dev-other,5,within,11.194
dinosr_reproduced_codebooks,dev-clean,5,across,6.831
dinosr_reproduced_codebooks,dev-clean,5,within,5.859
dinosr_reproduced_codebooks,dev-clean,6,across,8.507
dinosr_reproduced_codebooks,dev-clean,6,within,7.616
dinosr_reproduced_codebooks,dev-clean,7,across,14.293
dinosr_reproduced_codebooks,dev-clean,7,within,12.460
dinosr_reproduced_codebooks,dev-clean,8,across,23.132
dinosr_reproduced_codebooks,dev-clean,8,within,19.519
dinosr_reproduced_codebooks,dev-clean,9,across,21.395
dinosr_reproduced_codebooks,dev-clean,9,within,18.399
dinosr_reproduced_codebooks,dev-clean,10,across,13.640
dinosr_reproduced_codebooks,dev-clean,10,within,11.936
dinosr_reproduced_codebooks,dev-clean,11,across,11.105
dinosr_reproduced_codebooks,dev-clean,11,within,9.585
dinosr_reproduced_codebooks,dev-clean,12,across,15.754
dinosr_reproduced_codebooks,dev-clean,12,within,13.705
dinosr_reproduced_codebooks,dev-other,5,across,10.351
dinosr_reproduced_codebooks,dev-other,5,within,7.887
dinosr_reproduced_codebooks,dev-other,6,across,10.963
dinosr_reproduced_codebooks,dev-other,6,within,8.860
dinosr_reproduced_codebooks,dev-other,7,across,16.245
dinosr_reproduced_codebooks,dev-other,7,within,13.439
dinosr_reproduced_codebooks,dev-other,8,across,24.562
dinosr_reproduced_codebooks,dev-other,8,within,20.140
dinosr_reproduced_codebooks,dev-other,9,across,22.794
dinosr_reproduced_codebooks,dev-other,9,within,18.923
dinosr_reproduced_codebooks,dev-other,10,across,15.018
dinosr_reproduced_codebooks,dev-other,10,within,12.666
dinosr_reproduced_codebooks,dev-other,11,across,12.525
dinosr_reproduced_codebooks,dev-other,11,within,10.897
dinosr_reproduced_codebooks,dev-other,12,across,17.316
dinosr_reproduced_codebooks,dev-other,12,within,14.248
dinosr_reproduced_kmeans,dev-clean,5,across,8.617
dinosr_reproduced_kmeans,dev-clean,5,within,7.620
dinosr_reproduced_kmeans,dev-other,5,across,14.767
dinosr_reproduced_kmeans,dev-other,5,within,11.138
hubert_kmeans,dev-clean,1,across,18.803
hubert_kmeans,dev-clean,1,within,13.526
hubert_kmeans,dev-clean,2,across,14.644
hubert_kmeans,dev-clean,2,within,10.921
hubert_kmeans,dev-clean,3,across,12.628
hubert_kmeans,dev-clean,3,within,9.584
hubert_kmeans,dev-clean,4,across,10.687
hubert_kmeans,dev-clean,4,within,8.096
hubert_kmeans,dev-clean,5,across,8.043
hubert_kmeans,dev-clean,5,within,6.481
hubert_kmeans,dev-clean,6,across,7.433
hubert_kmeans,dev-clean,6,within,6.341
hubert_kmeans,dev-clean,7,across,7.074
hubert_kmeans,dev-clean,7,within,5.982
hubert_kmeans,dev-clean,8,across,7.851
hubert_kmeans,dev-clean,8,within,6.627
hubert_kmeans,dev-clean,9,across,7.872
hubert_kmeans,dev-clean,9,within,6.810
hubert_kmeans,dev-clean,10,across,6.797
hubert_kmeans,dev-clean,10,within,5.756
hubert_kmeans,dev-clean,11,across,6.297
hubert_kmeans,dev-clean,11,within,5.256
hubert_kmeans,dev-clean,12,across,7.339
hubert_kmeans,dev-clean,12,within,6.191
hubert_kmeans,dev-other,1,across,25.613
hubert_kmeans,dev-other,1,within,16.944
hubert_kmeans,dev-other,2,across,21.579
